iter	Passed	Remaining
0	1	164
1	2	146
2	4	136
3	5	127
4	6	125
5	7	124
6	9	122
7	10	120
8	11	117
9	12	116
10	14	114
11	15	114
12	16	112
13	18	110
14	19	109
15	20	109
16	22	109
17	24	109
18	25	107
19	26	106
20	27	104
21	29	103
22	30	101
23	31	100
24	33	99
25	34	97
26	35	96
27	37	95
28	38	94
29	39	93
30	41	92
31	42	90
32	44	89
33	45	88
34	47	87
35	48	86
36	49	84
37	51	83
38	52	82
39	54	81
40	55	79
41	56	77
42	57	76
43	58	74
44	60	73
45	61	72
46	62	70
47	63	69
48	65	67
49	66	66
50	67	65
51	69	63
52	70	62
53	71	61
54	72	59
55	73	58
56	75	56
57	76	55
58	77	53
59	79	52
60	80	51
61	82	50
62	83	49
63	84	47
64	86	46
65	87	45
66	88	43
67	90	42
68	91	41
69	92	39
70	93	38
71	95	37
72	96	35
73	97	34
74	99	33
75	100	31
76	101	30
77	103	29
78	104	27
79	105	26
80	106	25
81	108	23
82	109	22
83	110	21
84	111	19
85	113	18
86	114	17
87	116	15
88	117	14
89	118	13
90	120	11
91	121	10
92	122	9
93	124	7
94	125	6
95	126	5
96	127	3
97	129	2
98	130	1
99	131	0
